Dataset,Vertices Count,Edges Count, Max_d, Avg_d ,Longest Shortest Path,Time_64,Time_128,Time_256,Time_512,Time_1024,Tricount
dblp-edited.txt,317080,1049866,343,6.62209,23,0.000850038,0.00105092,0.00173006,0.00336702,0.00625402,2224385
facebook-edited.txt,4039,88234,1045,43.691,8,0.00143469,0.000800547,0.000506846,0.000365483,0.000456632,1612010
